epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,7161.06,0.70168,0.48849,1.10735,0.92927,0.90486,0.94087,0.88044,0.37434,0.32073,0.94471,0.0023,0.0023,0.0023
72,7263.32,0.69757,0.48021,1.10794,0.92428,0.90798,0.94287,0.88578,0.3693,0.31616,0.93953,0.00219,0.00219,0.00219
73,7365.45,0.70011,0.48472,1.11076,0.93916,0.89807,0.94297,0.88877,0.36456,0.31879,0.93592,0.00208,0.00208,0.00208
74,7467.51,0.68528,0.47217,1.09844,0.93155,0.89974,0.94304,0.88818,0.36257,0.31913,0.93772,0.00197,0.00197,0.00197
75,7569.75,0.69083,0.47652,1.10347,0.93355,0.89256,0.94409,0.88822,0.37022,0.31953,0.94276,0.00186,0.00186,0.00186
76,7671.84,0.68226,0.46972,1.09799,0.9293,0.90519,0.94641,0.88948,0.36806,0.316,0.94106,0.00175,0.00175,0.00175
77,7773.97,0.68211,0.46743,1.09951,0.93189,0.90634,0.94462,0.88824,0.37163,0.31414,0.94247,0.00164,0.00164,0.00164
78,7876.07,0.67828,0.46055,1.09631,0.93504,0.90358,0.94394,0.88776,0.37517,0.31726,0.94524,0.00153,0.00153,0.00153
79,7978.28,0.67076,0.45929,1.0916,0.93484,0.90909,0.94378,0.88971,0.37299,0.31415,0.94075,0.00142,0.00142,0.00142
80,8080.57,0.66813,0.45569,1.08865,0.93379,0.91185,0.94416,0.89005,0.36958,0.31708,0.94076,0.00131,0.00131,0.00131
81,8220.45,0.53868,0.34111,1.01117,0.93499,0.91126,0.94503,0.88852,0.36852,0.31156,0.93832,0.0012,0.0012,0.0012
82,8321.94,0.5217,0.31442,0.99429,0.9258,0.91185,0.94657,0.89183,0.36878,0.30774,0.93854,0.00109,0.00109,0.00109
83,8423.46,0.51673,0.30922,0.99572,0.92919,0.90368,0.94608,0.89087,0.36872,0.31378,0.93881,0.00098,0.00098,0.00098
84,8525.01,0.51305,0.30815,0.99017,0.92692,0.90847,0.94638,0.88899,0.3731,0.31694,0.94535,0.00087,0.00087,0.00087
85,8626.54,0.50667,0.31805,0.9854,0.94162,0.88873,0.94574,0.88826,0.37581,0.3186,0.94721,0.00076,0.00076,0.00076
86,8728.01,0.49892,0.2964,0.98248,0.94277,0.88705,0.9456,0.88744,0.37781,0.32034,0.94839,0.00065,0.00065,0.00065
87,8829.55,0.49765,0.29579,0.98086,0.94432,0.88773,0.94508,0.88576,0.37997,0.32259,0.94865,0.00054,0.00054,0.00054
88,8931.05,0.49238,0.29006,0.97773,0.94287,0.88981,0.94544,0.88634,0.38517,0.32615,0.95288,0.00043,0.00043,0.00043
89,9032.43,0.48713,0.31093,0.97264,0.93603,0.90358,0.946,0.88404,0.38873,0.32499,0.95561,0.00032,0.00032,0.00032
90,9133.88,0.47801,0.28006,0.96738,0.93935,0.90358,0.94601,0.88447,0.38755,0.32613,0.95511,0.00021,0.00021,0.00021
